页面	减少量(B)	减少前(B)	减少后(B)	时间	减少前摘要	减少后摘要	减少前版本	减少后版本
琅邪	1799	3108	1309	2026-04-24 12:57:17	butler/rebuild-place-citations: 重建PN引文节	butler/import-feudal-state: 更新史记引文 琅邪	20260424-103934-a75714	20260424-125717-1ea597
虞卿赂齐制秦策	1767	1925	158	2026-04-24 01:47:57	claude/sanwen-import: 批量导入散文页面 虞卿赂齐制秦策	REDIRECT：虞卿赂齐制秦策→虞卿赂齐制秦封一城	20260423-051040-bb511e	20260424-014757-18924c
虞	1762	3424	1662	2026-04-24 13:19:29	butler/import-feudal-state: 更新史记引文 虞	butler/restore: 补录revision——还原被误替换的史记引文节	20260424-125713-db52df	20260424-131929-1df4b0
舞阳侯国	1737	9930	8193	2026-04-23 14:19:11	butler/create-stub: 舞阳侯国 汉代侯国条目（批量导入）	butler/create-stub: 舞阳侯国 汉代侯国条目	20260423-140157-29e5bc	20260423-141911-9963bf
三河	1687	3207	1520	2026-04-24 12:57:52	butler/rebuild-place-citations: 重建PN引文节	butler/import-feudal-state: 更新史记引文 三河	20260424-103825-adf6da	20260424-125752-4e7656
曹	1687	3867	2180	2026-04-24 13:19:25	butler/import-feudal-state: 更新史记引文 曹	butler/restore: 补录revision——还原被误替换的史记引文节	20260424-125717-369161	20260424-131925-243321
垓下之围	1668	1776	108	2026-04-24 00:55:02	butler/fix-pn: 修正PN格式 + 添加章节关联	H1 merge: 垓下之围 REDIRECT → 垓下之战（canonical 已含 aliases）	20260423-164654-356439	20260424-005502-be8ba1
宋	1625	7967	6342	2026-04-24 13:19:24	butler/import-feudal-state: 更新史记引文 宋	butler/restore: 补录revision——还原被误替换的史记引文节	20260424-125715-793efe	20260424-131924-01bd54
立木为信	1616	1800	184	2026-04-24 02:00:39	butler/ontology-import: 立木为信	butler/merge: convert to redirect → 立木为信：商鞅式公信力建立六要素	20260423-100000-cc3d15	20260424-020039-dbec74
留侯国	1590	11682	10092	2026-04-23 14:19:09	butler/create-stub: 留侯国 汉代侯国条目（批量导入）	butler/create-stub: 留侯国 汉代侯国条目	20260423-140129-35ab83	20260423-141909-0bf97d
荆轲刺秦	1580	1694	114	2026-04-23 15:09:06	butler/import-story: 荆轲刺秦	butler/redirect: 荆轲刺秦 → 荆轲刺秦王	20260423-230237-d03401	20260423-150906-d46996
绛侯国	1575	17157	15582	2026-04-23 14:19:11	butler/create-stub: 绛侯国 汉代侯国条目（批量导入）	butler/create-stub: 绛侯国 汉代侯国条目	20260423-140125-d5cee7	20260423-141911-420e61
九江	1574	4392	2818	2026-04-24 12:57:16	butler/rebuild-place-citations: 重建PN引文节	butler/import-feudal-state: 更新史记引文 九江	20260424-103832-b7ddc2	20260424-125716-1d171c
博浪沙椎秦	1545	1667	122	2026-04-24 01:34:44	butler/import-story: 博浪沙椎秦	H1 REDIRECT → 博浪沙刺秦（椎=刺，合并）	20260423-230237-f05319	20260424-013444-b98361
辟阳侯	1507	1601	94	2026-04-24 01:03:26	R566 enriched: 辟阳侯（审食其，得吕后宠，被淮南厉王椎杀）	P2 merge: 辟阳侯 REDIRECT → 审食其（封号→名字，加陆贾营救段）	20260423-202645-2d50f1	20260424-010326-cc8dfa
蔡	1490	6022	4532	2026-04-24 13:19:29	butler/import-feudal-state: 更新史记引文 蔡	butler/restore: 补录revision——还原被误替换的史记引文节	20260424-125717-ad3379	20260424-131929-cac40c
菑川	1487	4244	2757	2026-04-24 12:57:19	butler/rebuild-place-citations: 重建PN引文节	butler/import-feudal-state: 更新史记引文 菑川	20260424-103946-aff627	20260424-125719-70ef30
朱家藏季布	1482	1628	146	2026-04-24 01:12:54	butler/import-story: 朱家藏季布	REDIRECT→朱家藏活豪士脱季布（叙事段落已并入规范页）	20260423-230237-464e5c	20260424-011254-5abe99
越	1448	4816	3368	2026-04-24 13:19:31	butler/import-feudal-state: 更新史记引文 越	butler/restore: 补录revision——还原被误替换的史记引文节	20260424-125715-212266	20260424-131931-12ef38
殽之战秦师覆没	1442	1576	134	2026-04-24 02:14:55	butler/fix-pn: 修正PN格式 + 添加章节关联	R919 redirect → 殽之战败秦	20260423-164820-3686f8	20260424-021455-195071
霸陵尉夜阻李广	1437	1577	140	2026-04-24 01:23:03	butler/import-story: 霸陵尉夜阻李广	H1 REDIRECT → 霸陵尉辱李广（合并）	20260423-230237-473149	20260424-012303-4b02b0
淮阳	1425	3890	2465	2026-04-24 12:57:17	butler/rebuild-place-citations: 重建PN引文节	butler/import-feudal-state: 更新史记引文 淮阳	20260424-103928-aed85d	20260424-125717-5bc3b8
代	1418	5149	3731	2026-04-24 13:19:23	butler/import-feudal-state: 更新史记引文 代	butler/restore: 补录revision——还原被误替换的史记引文节	20260424-125715-cecc2b	20260424-131923-1770ca
东瓯	1412	2224	812	2026-04-24 12:57:51	butler/rebuild-place-citations: 重建PN引文节	butler/import-feudal-state: 更新史记引文 东瓯	20260424-103828-3aab49	20260424-125751-056c15
曲周侯国	1401	10834	9433	2026-04-23 14:19:10	butler/create-stub: 曲周侯国 汉代侯国条目（批量导入）	butler/create-stub: 曲周侯国 汉代侯国条目	20260423-140145-cdbd7b	20260423-141910-09b429
夜郎	1400	2426	1026	2026-04-24 12:57:51	butler/rebuild-place-citations: 重建PN引文节	butler/import-feudal-state: 更新史记引文 夜郎	20260424-103849-eef008	20260424-125751-283f5e
西周	1368	1993	625	2026-04-24 12:57:15	butler/rebuild-place-citations: 重建PN引文节	butler/import-feudal-state: 更新史记引文 西周	20260424-103951-01b147	20260424-125715-dce66e
江	1365	3430	2065	2026-04-24 12:57:18	butler/rebuild-place-citations: 重建PN引文节	butler/import-feudal-state: 更新史记引文 江	20260424-103918-4b959c	20260424-125718-8e1c38
长乐宫行朝仪	1361	1489	128	2026-04-24 01:35:02	butler/fix-pn: 修正PN格式 + 添加章节关联	H1 REDIRECT → 长乐宫成（合并）	20260423-164951-da5392	20260424-013502-e21f97
越灭吴国	1342	1470	128	2026-04-24 01:47:56	butler/fix-pn: 修正PN格式 + 添加章节关联	REDIRECT：越灭吴国→越灭吴夫差自刭	20260423-164943-b0cc3a	20260424-014756-34ba04
宣平侯国	1341	11270	9929	2026-04-23 14:19:32	butler/create-stub: 宣平侯国 汉代侯国条目（批量导入）	butler/create-stub: 宣平侯国 汉代侯国条目	20260423-140202-b51c6c	20260423-141932-69fdfc
翕侯国	1335	7972	6637	2026-04-23 14:20:02	butler/create-stub: 翕侯国 汉代侯国条目（批量导入）	butler/create-stub: 翕侯国 汉代侯国条目	20260423-140158-a5c557	20260423-142002-a338ed
东城快战	1316	1456	140	2026-04-24 01:40:54	butler/fix-pn: 修正PN格式 + 添加章节关联	REDIRECT：东城快战→东城快战、乌江自刎	20260423-164346-b88ed2	20260424-014054-5d314b
晋国	1304	2185	881	2026-04-24 13:19:25	butler/import-feudal-state: 更新史记引文 晋国	butler/restore: 补录revision——还原被误替换的史记引文节	20260424-125750-2f4a5b	20260424-131925-c62fd7
博浪沙刺秦、东巡	1280	1418	138	2026-04-23 15:09:06	butler/import-story: 博浪沙刺秦、东巡	butler/redirect: 博浪沙刺秦、东巡 → 博浪沙刺秦	20260423-230237-4de8cf	20260423-150906-4ba25c
周苛守荥阳死	1270	1410	140	2026-04-24 01:12:33	butler/fix-pn: 修正PN格式 + 添加章节关联	REDIRECT→周苛守荥阳殉节（项羽本纪枞公/魏豹/招降条件已并入规范页）	20260423-164651-f8d327	20260424-011233-461ed9
广陵	1259	3474	2215	2026-04-24 12:57:20	butler/rebuild-place-citations: 重建PN引文节	butler/import-feudal-state: 更新史记引文 广陵	20260424-103901-775073	20260424-125720-8dd4ab
涅阳侯国	1256	3236	1980	2026-04-23 14:19:24	butler/create-stub: 涅阳侯国 汉代侯国条目（批量导入）	butler/create-stub: 涅阳侯国 汉代侯国条目	20260423-140134-b4574a	20260423-141924-1486dc
章邯降楚封王	1255	1383	128	2026-04-24 01:31:53	butler/fix-pn: 修正PN格式 + 添加章节关联	H1 REDIRECT → 章邯降项羽（合并）	20260423-164909-612c55	20260424-013153-fff622
舜巡狩四方	1244	1380	136	2026-04-24 02:05:24	butler/fix-pn: 修正PN格式 + 添加章节关联	butler/merge: convert to redirect → 舜巡狩祭祀四岳	20260423-164916-e9bf52	20260424-020524-58ef15
邛	1230	2144	914	2026-04-24 12:57:52	butler/rebuild-place-citations: 重建PN引文节	butler/import-feudal-state: 更新史记引文 邛	20260424-103957-d06a35	20260424-125752-ced353
鲧治水九年失败	1229	1385	156	2026-04-24 01:05:27	butler/add-pn: 补全PN+元数据 (paragraph_refs, event_type)	H1 merge: 鲧治水九年失败 REDIRECT → 鲧治水九年无功被殛	20260423-161621-0d38f9	20260424-010527-a215df
博望侯国	1226	9553	8327	2026-04-23 14:20:10	butler/create-stub: 博望侯国 汉代侯国条目（批量导入）	butler/create-stub: 博望侯国 汉代侯国条目	20260423-140059-006cab	20260423-142010-3903ae
武王观兵盟津	1213	1347	134	2026-04-24 01:30:32	butler/fix-pn: 修正PN格式 + 添加章节关联	H1 REDIRECT → 武王观兵孟津（孟津=盟津，合并）	20260423-164819-392d2b	20260424-013032-c376c5
梁	1212	4813	3601	2026-04-24 13:19:25	butler/import-feudal-state: 更新史记引文 梁	butler/restore: 补录revision——还原被误替换的史记引文节	20260424-125715-f39f61	20260424-131925-774488
陈平反间计	1208	1338	130	2026-04-24 02:09:25	butler/fix-pn: 修正PN格式 + 添加章节关联	butler/merge: convert to redirect → 陈平反间破楚	20260423-164956-7c4d24	20260424-020925-5480ce
未央宫成太上皇殿上寿	1195	1353	158	2026-04-24 01:32:06	butler/fix-pn: 修正PN格式 + 添加章节关联	H1 REDIRECT → 未央宫成大朝（合并）	20260423-164800-9c6203	20260424-013206-36f16f
漯阴侯国	1191	9635	8444	2026-04-23 14:20:12	butler/create-stub: 漯阴侯国 汉代侯国条目（批量导入）	butler/create-stub: 漯阴侯国 汉代侯国条目	20260423-140127-43577e	20260423-142012-89e323
孤竹	1190	2180	990	2026-04-24 12:57:50	butler/rebuild-place-citations: 重建PN引文节	butler/import-feudal-state: 更新史记引文 孤竹	20260424-103852-dbccbf	20260424-125750-c17090
泗水	1189	3175	1986	2026-04-24 12:57:47	butler/rebuild-place-citations: 重建PN引文节	butler/import-feudal-state: 更新史记引文 泗水	20260424-103923-616e21	20260424-125747-8bcf70
王翦请田自坚出征	1185	1345	160	2026-04-24 02:05:45	butler/fix-pn: 修正PN格式 + 添加章节关联	butler/merge: convert to redirect → 王翦请田宅、灭楚	20260423-164842-9e1eb8	20260424-020545-64ca4f
东周	1183	1635	452	2026-04-24 13:19:23	butler/import-feudal-state: 更新史记引文 东周	butler/restore: 补录revision——还原被误替换的史记引文节	20260424-125716-e79bdf	20260424-131923-fe4e7f
太原	1160	3654	2494	2026-04-24 12:57:19	butler/rebuild-place-citations: 重建PN引文节	butler/import-feudal-state: 更新史记引文 太原	20260424-103851-177477	20260424-125719-aa2819
临江	1157	2562	1405	2026-04-24 13:19:23	butler/import-feudal-state: 更新史记引文 临江	butler/restore: 补录revision——还原被误替换的史记引文节	20260424-125718-fd2d58	20260424-131923-e0b8d9
负荆请罪	1150	1286	136	2026-04-24 02:02:04	butler/fix-pn: 修正PN格式 + 添加章节关联	butler/merge: convert to redirect → 负荆请罪、将相和	20260423-164936-a55e94	20260424-020204-332525
随	1128	1630	502	2026-04-24 13:19:31	butler/import-feudal-state: 更新史记引文 随	butler/restore: 补录revision——还原被误替换的史记引文节	20260424-125717-290c57	20260424-131931-81a75e
商	1104	5759	4655	2026-04-24 12:14:11	butler/build-state-rulers: 重建完整历代君主表（含无年代君主）	商：redirect改为独立state页	20260424-114535-a7391c	20260424-121411-71297b
郦生说齐七十余城	1102	1250	148	2026-04-24 01:55:43	butler/fix-pn: 修正PN格式 + 添加章节关联	butler/merge: convert to redirect → 郦生说齐罢兵	20260423-164949-c5edc5	20260424-015543-0a3e56
李园献女春申君	1096	1262	166	2026-04-24 01:54:50	butler/fix-pn: 修正PN格式 + 添加章节关联	butler/merge: convert to redirect → 李园献妹、刺杀春申君	20260423-164802-8510b4	20260424-015450-01a97d
彭越	1088	1659	571	2026-04-22 08:11:00	initial import from docs/wiki/pages/	butler/create-stub: 彭越 P1 queue, refs=69/21	20260422-160832-0bc0da	20260422-081100-ce15e7
廉颇	1086	1633	547	2026-04-22 08:12:00	initial import from docs/wiki/pages/	butler/create-stub: 廉颇 P1 queue, refs=68/15	20260422-160844-137bc1	20260422-081200-ba8918
管仲	1080	1643	563	2026-04-22 08:15:00	initial import from docs/wiki/pages/	butler/create-stub: 管仲 P1 queue, refs=65/21	20260422-160955-8a333b	20260422-081500-ece016
周文王	1078	1666	588	2026-04-22 08:00:00	initial import from docs/wiki/pages/	butler/create-stub: 周文王 P1 queue top, refs=97/42	20260422-155723-29f921	20260422-080000-e10447
火牛阵破燕	1077	1201	124	2026-04-24 02:02:04	butler/fix-pn: 修正PN格式 + 添加章节关联	butler/merge: convert to redirect → 火牛阵复齐	20260423-164834-05e144	20260424-020204-30953e
黄帝	1070	1654	584	2026-04-22 08:02:00	initial import from docs/wiki/pages/	butler/create-stub: 黄帝 P1 queue #3, refs=92/24	20260422-160139-9c01fb	20260422-080200-37c5fe
怀王入秦不返	1064	1200	136	2026-04-24 01:54:50	butler/fix-pn: 修正PN格式 + 添加章节关联	butler/merge: convert to redirect → 怀王入秦被囚	20260423-164738-15a19c	20260424-015450-d00d67
彭越聚众起事	1060	1184	124	2026-04-24 02:02:04	butler/fix-pn: 修正PN格式 + 添加章节关联	butler/merge: convert to redirect → 彭越聚盗	20260423-164736-8cc76b	20260424-020204-33ec43
景帝十三子五母分宗	1057	1217	160	2026-04-24 02:09:25	butler/fix-pn: 修正PN格式 + 添加章节关联	butler/merge: convert to redirect → 景帝十三子分封	20260423-164756-69300f	20260424-020925-9900aa
合骑侯国	1056	7563	6507	2026-04-23 14:20:08	butler/create-stub: 合骑侯国 汉代侯国条目（批量导入）	butler/create-stub: 合骑侯国 汉代侯国条目	20260423-140121-3ee7be	20260423-142008-310768
沈	1055	1590	535	2026-04-24 13:19:26	butler/import-feudal-state: 更新史记引文 沈	butler/restore: 补录revision——还原被误替换的史记引文节	20260424-125718-730cfb	20260424-131926-33552d
秦昭襄王	1055	1672	617	2026-04-22 16:43:21	initial import from docs/wiki/pages/	butler/add-tag: 秦昭襄王	20260422-134346-407981	20260422-164321-9e1962
槜李之战	1053	1187	134	2026-04-24 01:26:56	butler/fix-pn: 修正PN格式 + 添加章节关联	H1 REDIRECT → 槜李之战阖庐伤亡（合并）	20260423-164814-de044a	20260424-012656-ac31f2
项羽	1052	1656	604	2026-04-22 08:04:00	butler/git-backfill: 32115f02	butler/add-tag: 项羽 tags 空, 补 3 标签	20260422-061250-8ead01	20260422-080400-5a6936
尧	1044	1593	549	2026-04-22 08:18:00	initial import from docs/wiki/pages/	butler/create-stub: 尧 P1 queue, refs=72/30	20260422-161037-1341ce	20260422-081800-354837
师旷鼓琴致大旱	1044	1222	178	2026-04-24 01:54:50	butler/fix-pn: 修正PN格式 + 添加章节关联	butler/merge: convert to redirect → 师旷鼓琴：清角之乐致灾异	20260423-164722-cd77ec	20260424-015450-caf303
项羽	1044	1690	646	2026-04-22 16:50:57	initial import from docs/wiki/pages/	butler/add-tag: 项羽	20260422-160323-4edc8e	20260422-165057-e66c33
豫让击衣自杀	1043	1195	152	2026-04-24 01:13:39	butler/fix-pn: 修正PN格式 + 添加章节关联	REDIRECT→豫让击衣、漆身吞炭（众人国士名言及刺客列传源已并入）	20260423-164935-815054	20260424-011339-866bbf
齐王献城阳郡	1043	1185	142	2026-04-24 02:05:24	butler/add-pn: 补全PN+元数据 (paragraph_refs, event_type, location)	butler/merge: convert to redirect → 齐王献城阳免祸	20260423-161643-84ee24	20260424-020524-40dc19
义渠	1033	2377	1344	2026-04-24 12:57:50	butler/rebuild-place-citations: 重建PN引文节	butler/import-feudal-state: 更新史记引文 义渠	20260424-103832-6347f0	20260424-125750-a593f0
胶东	1033	3975	2942	2026-04-24 12:57:19	butler/rebuild-place-citations: 重建PN引文节	butler/import-feudal-state: 更新史记引文 胶东	20260424-103943-9bb8fb	20260424-125719-3ebb4b
伍子胥	1032	1625	593	2026-04-22 08:16:00	initial import from docs/wiki/pages/	butler/create-stub: 伍子胥 P1 queue, refs=65/20	20260422-161006-124516	20260422-081600-14c32f
乐安侯国	1029	6559	5530	2026-04-23 14:20:08	butler/create-stub: 乐安侯国 汉代侯国条目（批量导入）	butler/create-stub: 乐安侯国 汉代侯国条目	20260423-140127-6aa942	20260423-142008-82cbff
二世东巡刻石	1023	1157	134	2026-04-24 02:14:52	butler/fix-pn: 修正PN格式 + 添加章节关联	R919 redirect → 二世东巡碣石	20260423-164418-b9abaf	20260424-021452-5de61c
孔子	1022	1641	619	2026-04-22 16:50:57	initial import from docs/wiki/pages/	butler/add-tag: 孔子	20260422-160931-e715a3	20260422-165057-7f092b
孔子	1022	1605	583	2026-04-22 08:14:00	butler/git-backfill: 32115f02	butler/add-tag: 孔子 tags 空, 加 4 标签	20260422-061250-e94502	20260422-081400-8c0dd9
专诸刺吴王僚	1017	1147	130	2026-04-24 01:55:22	butler/fix-pn: 修正PN格式 + 添加章节关联	butler/merge: convert to redirect → 专诸刺王僚	20260423-164344-d4161c	20260424-015522-325577
胯下之辱	1010	1158	148	2026-04-24 02:02:04	butler/fix-pn: 修正PN格式 + 添加章节关联	butler/merge: convert to redirect → 胯下之辱与韩信的忍耐	20260423-164914-f14bdf	20260424-020204-070199
王翦灭楚平荆	1008	1160	152	2026-04-24 01:49:48	butler/fix-pn: 修正PN格式 + 添加章节关联	REDIRECT：王翦灭楚平荆→王翦灭楚与请田自坚	20260423-164842-8972ad	20260424-014948-423d5b
济阴	1007	1980	973	2026-04-24 12:57:20	butler/rebuild-place-citations: 重建PN引文节	butler/import-feudal-state: 更新史记引文 济阴	20260424-103926-b3ef8f	20260424-125720-1bc8f5
楚怀王	1006	1556	550	2026-04-22 08:10:00	initial import from docs/wiki/pages/	butler/create-stub: 楚怀王 P1 queue, refs=75/23	20260422-160818-240674	20260422-081000-d61592
陈涉起兵	1005	1115	110	2026-04-24 01:23:23	butler/fix-pn: 修正PN格式 + 添加章节关联	H1 REDIRECT → 陈涉起义（合并）	20260423-164958-cd9884	20260424-012323-faa81e
胶西	1004	2970	1966	2026-04-24 12:57:19	butler/rebuild-place-citations: 重建PN引文节	butler/import-feudal-state: 更新史记引文 胶西	20260424-103943-d05b60	20260424-125719-8a41f8
李牧守边备匈奴	1001	1147	146	2026-04-24 01:26:32	butler/fix-pn: 修正PN格式 + 添加章节关联	H1 REDIRECT → 李牧守边与冤死（合并）	20260423-164805-ae418d	20260424-012632-f3f08a
汉景帝	1000	1612	612	2026-04-22 16:43:20	initial import from docs/wiki/pages/	butler/add-tag: 汉景帝	20260422-134346-f0a8f1	20260422-164320-33de13
田乞立阳生	997	1119	122	2026-04-24 01:23:41	butler/fix-pn: 修正PN格式 + 添加章节关联	H1 REDIRECT → 田乞立悼公（阳生即悼公，合并）	20260423-164844-677d49	20260424-012341-093f76
邲之战晋败于楚	989	1141	152	2026-04-24 01:40:54	butler/fix-pn: 修正PN格式 + 添加章节关联	REDIRECT：邲之战晋败于楚→邲之战：庄王胜晋	20260423-164946-f3b52f	20260424-014054-069936
邢	988	1539	551	2026-04-24 12:57:49	butler/rebuild-place-citations: 重建PN引文节	butler/import-feudal-state: 更新史记引文 邢	20260424-103958-3ee026	20260424-125749-6fd084
灌婴屯荥阳连和	986	1126	140	2026-04-24 02:14:55	butler/fix-pn: 修正PN格式 + 添加章节关联	R919 redirect → 灌婴屯兵荥阳	20260423-164834-2a1c4b	20260424-021455-72c9e6
孝公卒诛商鞅	985	1141	156	2026-04-24 01:31:20	butler/fix-pn: 修正PN格式 + 添加章节关联	H1 REDIRECT → 孝公卒商君被告谋反（合并）	20260423-164708-5c5bde	20260424-013120-e1a682
轵侯国	985	5476	4491	2026-04-23 14:19:44	butler/create-stub: 轵侯国 汉代侯国条目（批量导入）	butler/create-stub: 轵侯国 汉代侯国条目	20260423-140213-53a633	20260423-141944-7eaf27
陈平	984	1534	550	2026-04-22 16:43:20	initial import from docs/wiki/pages/	butler/add-tag: 陈平	20260422-160858-b96922	20260422-164320-4eb3f6
周武王	983	1604	621	2026-04-22 16:42:21	initial import from docs/wiki/pages/	butler/add-tag: 周武王 [西周, 三代, 本纪人物]	20260422-134346-5fc15d	20260422-164221-e2c6be
汉文帝	981	1608	627	2026-04-22 16:32:53	initial import from docs/wiki/pages/	butler/add-tag: 汉文帝 补 4 标签	20260422-134346-3caafe	20260422-163253-aa6ade
项梁	972	1493	521	2026-04-22 08:05:00	initial import from docs/wiki/pages/	butler/create-stub: 项梁 P1 queue #4, refs=89/21	20260422-160422-e5f711	20260422-080500-31f70d
尧命羲和制历	969	1115	146	2026-04-24 01:13:12	butler/fix-pn: 修正PN格式 + 添加章节关联	REDIRECT→尧命羲和敬授民时（故事页更完整，event_id已并入）	20260423-164719-831dcf	20260424-011312-fc0f8b
卜式输财助边	965	1135	170	2026-04-24 01:49:48	butler/fix-pn: 修正PN格式 + 添加章节关联	REDIRECT：卜式输财助边→卜式输财助边、拜御史大夫	20260423-164628-dd2e63	20260424-014948-79fea8
棘蒲侯国	954	12027	11073	2026-04-23 14:19:15	butler/create-stub: 棘蒲侯国 汉代侯国条目（批量导入）	butler/create-stub: 棘蒲侯国 汉代侯国条目	20260423-140123-de1421	20260423-141915-459911
袁盎	954	1522	568	2026-04-22 08:06:00	initial import from docs/wiki/pages/	butler/create-stub: 袁盎 P1 queue #5, refs=86/14	20260422-160435-f7ca65	20260422-080600-fe81a3
缯	952	1637	685	2026-04-24 12:57:14	butler/rebuild-place-citations: 重建PN引文节	butler/import-feudal-state: 更新史记引文 缯	20260424-103942-b53b99	20260424-125714-d7dcf2
荧惑守心景公三善	950	1104	154	2026-04-24 02:05:45	butler/fix-pn: 修正PN格式 + 添加章节关联	butler/merge: convert to redirect → 荧惑守心与异象	20260423-164922-ecac4d	20260424-020545-d4ab7b
059_五宗世家	948	5243	4295	2026-04-23 16:55:06	butler/add-chapter-summary: 添加太史公自序综述（18节）	butler/linkify: 事件列表添加wiki链接 (21个)	20260422-213930-368a68	20260423-165506-98ac4c
武涉说韩信	946	1092	146	2026-04-24 01:25:17	butler/fix-pn: 修正PN格式 + 添加章节关联	H1 REDIRECT → 武涉说齐王韩信连楚（合并）	20260423-164818-1a304c	20260424-012517-a51141
045_韩世家	945	4929	3984	2026-04-23 16:55:03	butler/add-chapter-summary: 添加太史公自序综述（21节）	butler/linkify: 事件列表添加wiki链接 (14个)	20260422-213929-bdbaa4	20260423-165503-49da84
吕雉	943	1515	572	2026-04-22 16:43:20	initial import from docs/wiki/pages/	butler/add-tag: 吕雉	20260422-134346-9ebdb0	20260422-164320-b805d4
晋文公	942	1480	538	2026-04-22 08:01:00	initial import from docs/wiki/pages/	butler/create-stub: 晋文公 P1 queue #2, refs=95/23	20260422-160102-21ec45	20260422-080100-1d5080
鞍之战齐败于晋	939	1081	142	2026-04-24 02:09:25	butler/fix-pn: 修正PN格式 + 添加章节关联	butler/merge: convert to redirect → 鞍之战晋败齐	20260423-165004-e6e403	20260424-020925-4074b5
048_陈涉世家	937	4641	3704	2026-04-23 16:55:03	butler/add-chapter-summary: 添加太史公自序综述（18节）	butler/linkify: 事件列表添加wiki链接 (12个)	20260422-213929-e31fdb	20260423-165503-cb8784
大夏	934	3085	2151	2026-04-24 12:57:51	butler/rebuild-place-citations: 重建PN引文节	butler/import-feudal-state: 更新史记引文 大夏	20260424-103849-7d89b8	20260424-125751-2e9c62
124_游侠列传	933	3506	2573	2026-04-23 16:55:20	butler/add-chapter-summary: 添加太史公自序综述（8节）	butler/linkify: 事件列表添加wiki链接 (10个)	20260422-213934-a64999	20260423-165520-aa9191
019_惠景间侯者年表	931	3710	2779	2026-04-23 16:54:57	butler/add-chapter-summary: 添加太史公自序综述（3节）	butler/linkify: 事件列表添加wiki链接 (15个)	20260422-213927-6d8989	20260423-165457-c212ba
078_春申君列传	931	4395	3464	2026-04-23 16:55:10	butler/add-chapter-summary: 添加太史公自序综述（10节）	butler/linkify: 事件列表添加wiki链接 (16个)	20260422-213931-fbfa01	20260423-165510-34b516
114_东越列传	929	3937	3008	2026-04-23 16:55:18	butler/add-chapter-summary: 添加太史公自序综述（7节）	butler/linkify: 事件列表添加wiki链接 (16个)	20260422-213933-d4f5c5	20260423-165518-126b68
吴楚七国之乱	928	1048	120	2026-04-24 01:03:43	butler/fix-pn: 修正PN格式 + 添加章节关联	P2 merge: 吴楚七国之乱 REDIRECT → 七国之乱（加诸侯王年表来源）	20260423-164645-a84d0a	20260424-010343-9a15c1
鲧治水九年不成	924	1080	156	2026-04-24 01:05:27	butler/add-pn: 补全PN+元数据 (paragraph_refs, event_type)	H1 merge: 鲧治水九年不成 REDIRECT → 鲧治水九年无功被殛	20260423-161620-1a017b	20260424-010527-4d0f17
020_建元以来侯者年表	920	3595	2675	2026-04-23 16:54:57	butler/add-chapter-summary: 添加太史公自序综述（2节）	butler/linkify: 事件列表添加wiki链接 (15个)	20260422-213927-2b59b0	20260423-165457-0dc857
公孙臣上书言土德	919	1083	164	2026-04-24 01:32:20	butler/fix-pn: 修正PN格式 + 添加章节关联	H1 REDIRECT → 公孙臣言土德黄龙见（合并）	20260423-164530-0e3941	20260424-013220-bf397b
051_荆燕世家	918	4216	3298	2026-04-23 16:55:04	butler/add-chapter-summary: 添加太史公自序综述（11节）	butler/linkify: 事件列表添加wiki链接 (16个)	20260422-213929-8d8b10	20260423-165504-a013eb
128_龟策列传	917	3654	2737	2026-04-23 16:55:21	butler/add-chapter-summary: 添加太史公自序综述（11节）	butler/linkify: 事件列表添加wiki链接 (9个)	20260422-213934-74ae93	20260423-165521-44a418
崤之战	915	1043	128	2026-04-24 01:49:48	butler/fix-pn: 修正PN格式 + 添加章节关联	REDIRECT：崤之战→崤之战：三帅哭师	20260423-164721-c28f47	20260424-014948-5fb7fc
113_南越列传	911	4436	3525	2026-04-23 16:55:18	butler/add-chapter-summary: 添加太史公自序综述（7节）	butler/linkify: 事件列表添加wiki链接 (20个)	20260422-213933-7d70d6	20260423-165518-8040c3
太公封齐营丘	907	1053	146	2026-04-24 01:47:56	butler/fix-pn: 修正PN格式 + 添加章节关联	REDIRECT：太公封齐营丘→太公封营丘通鱼盐	20260423-164659-da636a	20260424-014756-45521e
104_田叔列传	905	4784	3879	2026-04-23 16:55:16	butler/add-chapter-summary: 添加太史公自序综述（20节）	butler/linkify: 事件列表添加wiki链接 (14个)	20260422-213933-776166	20260423-165516-bd7ac8
陈平专相孝文	904	1040	136	2026-04-24 02:05:24	butler/fix-pn: 修正PN格式 + 添加章节关联	butler/merge: convert to redirect → 陈平专为丞相	20260423-164955-63c7c6	20260424-020524-eca169
司马迁	898	1446	548	2026-04-22 16:32:52	initial import from docs/wiki/pages/	butler/add-tag: 司马迁 补 4 标签	20260422-134346-f1686c	20260422-163252-2ffdf3
117_司马相如列传	896	4162	3266	2026-04-23 16:55:19	butler/add-chapter-summary: 添加太史公自序综述（10节）	butler/linkify: 事件列表添加wiki链接 (15个)	20260422-213934-b7472d	20260423-165519-c3b7b8
卢绾与高祖同日生	896	1050	154	2026-04-24 02:05:45	butler/fix-pn: 修正PN格式 + 添加章节关联	butler/merge: convert to redirect → 卢绾与高祖同里	20260423-164629-2254ff	20260424-020545-774eba
触龙说太后	896	1024	128	2026-04-24 01:22:39	butler/fix-pn: 修正PN格式 + 添加章节关联	H1 REDIRECT → 触龙说赵太后（合并）	20260423-164931-3d4ae0	20260424-012239-b88bdf
