章节号,章节名,事件ID,事件名称,事件类型,事件年代,距司马谈,距司马迁,史源类型,可信度,推理依据
006,秦始皇本纪,006-071,焚书令,政治改革,-213,103,113,文献传承,B,重大政治事件，依据官方档案
006,秦始皇本纪,006-072,修直道,建设,-212,102,112,文献传承,C,距司马谈102年，依赖文献
006,秦始皇本纪,006-073,营建阿房宫,建设,-212,102,112,文献传承,C,距司马谈102年，依赖文献
006,秦始皇本纪,006-074,方士逃亡,政治整顿,-212,102,112,文献传承,C,距司马谈102年，依赖文献
006,秦始皇本纪,006-075,坑杀诸生,政治整顿,-212,102,112,文献传承,C,距司马谈102年，依赖文献
006,秦始皇本纪,006-076,扶苏谏被贬,政治活动,-212,102,112,军中传闻,C,军中或民间流传
006,秦始皇本纪,006-077,陨石刻字事件,自然灾害,-211,101,111,文献传承,B,重大政治事件，依据官方档案
006,秦始皇本纪,006-078,璧遗滈池君,文化活动,-211,101,111,文献传承,C,距司马谈101年，依赖文献
006,秦始皇本纪,006-079,始皇最后出游,政治活动,-210,100,110,军中传闻,C,军中或民间流传
006,秦始皇本纪,006-080,上会稽刻石,文化活动,-210,100,110,文献传承,C,距司马谈100年，依赖文献
006,秦始皇本纪,006-081,始皇射杀巨鱼,文化活动,-210,100,110,文献传承,C,距司马谈100年，依赖文献
006,秦始皇本纪,006-082,始皇崩沙丘,继位,-210,100,110,文献传承,B,重大政治事件，依据官方档案
006,秦始皇本纪,006-083,沙丘之谋,政治整顿,-210,100,110,文献传承,C,距司马谈100年，依赖文献
006,秦始皇本纪,006-084,胡亥即位,继位,-210,100,110,文献传承,B,重大政治事件，依据官方档案
006,秦始皇本纪,006-085,始皇陵下葬,建设,-209,99,109,家族传承,C,距司马谈99年，可能有2-3代传承
006,秦始皇本纪,006-086,二世尊始皇庙,政治活动,-209,99,109,家族传承,B,距司马谈99年，可能有家族口述
006,秦始皇本纪,006-087,二世东巡刻石,政治活动,-209,99,109,家族传承,B,距司马谈99年，可能有家族口述
006,秦始皇本纪,006-088,二世诛公子大臣,政治整顿,-209,99,109,家族传承,C,距司马谈99年，可能有2-3代传承
006,秦始皇本纪,006-089,复作阿房宫,建设,-209,99,109,家族传承,C,距司马谈99年，可能有2-3代传承
006,秦始皇本纪,006-090,陈胜起义,战争,-209,99,109,文献传承,B,重大政治事件，依据官方档案
006,秦始皇本纪,006-091,山东郡县响应,战争,-209,99,109,文献传承,B,重大政治事件，依据官方档案
006,秦始皇本纪,006-092,沛公项梁起兵,战争,-209,99,109,文献传承,B,重大政治事件，依据官方档案
006,秦始皇本纪,006-093,章邯击周章,战争,-208,98,108,文献传承,B,重大政治事件，依据官方档案
006,秦始皇本纪,006-094,章邯连破叛军,战争,-208,98,108,文献传承,B,重大政治事件，依据官方档案
006,秦始皇本纪,006-095,赵高专权幽二世,政治整顿,-208,98,108,家族传承,C,距司马谈98年，可能有2-3代传承
006,秦始皇本纪,006-096,三臣谏被杀,政治整顿,-208,98,108,家族传承,C,距司马谈98年，可能有2-3代传承
006,秦始皇本纪,006-097,赵高杀李斯,政治整顿,-207,97,107,家族传承,C,距司马谈97年，可能有2-3代传承
006,秦始皇本纪,006-098,章邯降项羽,战争,-207,97,107,文献传承,B,重大政治事件，依据官方档案
006,秦始皇本纪,006-099,指鹿为马,政治整顿,-207,97,107,家族传承,C,距司马谈97年，可能有2-3代传承
006,秦始皇本纪,006-100,赵高弑二世,政治整顿,-207,97,107,家族传承,C,距司马谈97年，可能有2-3代传承
006,秦始皇本纪,006-101,子婴立为秦王,继位,-207,97,107,文献传承,B,重大政治事件，依据官方档案
006,秦始皇本纪,006-102,子婴诛赵高,政治整顿,-207,97,107,家族传承,C,距司马谈97年，可能有2-3代传承
006,秦始皇本纪,006-103,子婴降沛公,继位,-206,96,106,文献传承,B,重大政治事件，依据官方档案
006,秦始皇本纪,006-104,项籍灭秦,战争,-206,96,106,文献传承,B,重大政治事件，依据官方档案
006,秦始皇本纪,006-105,秦世系传承,继位,-770,660,670,文献传承,C,距司马谈660年，必依赖文献
007,项羽本纪,007-001,项氏家世渊源,家族事件,-232,122,132,军中传闻,C,军中或民间流传
007,项羽本纪,007-002,项籍弃学兵法,家族事件,-220,110,120,军中传闻,C,军中或民间流传
007,项羽本纪,007-003,观秦皇出游,政治活动,-210,100,110,军中传闻,C,军中或民间流传
007,项羽本纪,007-004,陈涉起义,战争,-209,99,109,文献传承,B,重大政治事件，依据官方档案
007,项羽本纪,007-005,斩会稽守起兵,战争,-209,99,109,文献传承,B,重大政治事件，依据官方档案
007,项羽本纪,007-006,项梁渡江西征,战争,-209,99,109,文献传承,B,重大政治事件，依据官方档案
007,项羽本纪,007-007,陈婴归附项梁,政治活动,-209,99,109,家族传承,B,距司马谈99年，可能有家族口述
007,项羽本纪,007-008,击败秦嘉景驹,战争,-208,98,108,文献传承,B,重大政治事件，依据官方档案
007,项羽本纪,007-009,范增说立楚后,政治活动,-208,98,108,家族传承,B,距司马谈98年，可能有家族口述
007,项羽本纪,007-010,立楚怀王孙心,继位,-208,98,108,文献传承,B,重大政治事件，依据官方档案
007,项羽本纪,007-011,东阿破秦军,战争,-208,98,108,文献传承,B,重大政治事件，依据官方档案
007,项羽本纪,007-012,攻城阳破秦军,战争,-208,98,108,文献传承,B,重大政治事件，依据官方档案
007,项羽本纪,007-013,项梁定陶战死,战争,-208,98,108,文献传承,B,重大政治事件，依据官方档案
007,项羽本纪,007-014,怀王命宋义北救,政治活动,-208,98,108,家族传承,B,距司马谈98年，可能有家族口述
007,项羽本纪,007-015,项羽斩宋义,政治整顿,-207,97,107,家族传承,C,距司马谈97年，可能有2-3代传承
007,项羽本纪,007-016,怀王拜项羽上将,继位,-207,97,107,文献传承,B,重大政治事件，依据官方档案
007,项羽本纪,007-017,破釜沉舟渡河,战争,-207,97,107,亲历口述,B,项伯家族+军中传闻
007,项羽本纪,007-018,诸侯膝行归附,政治活动,-207,97,107,家族传承,B,距司马谈97年，可能有家族口述
007,项羽本纪,007-019,章邯使人求约,政治活动,-207,97,107,家族传承,B,距司马谈97年，可能有家族口述
007,项羽本纪,007-020,陈馀遗书章邯,政治活动,-207,97,107,家族传承,B,距司马谈97年，可能有家族口述
007,项羽本纪,007-021,章邯降楚封王,政治活动,-207,97,107,家族传承,B,距司马谈97年，可能有家族口述
007,项羽本纪,007-022,新安坑杀降卒,战争,-206,96,106,文献传承,B,重大政治事件，依据官方档案
007,项羽本纪,007-023,项羽入函谷关,战争,-206,96,106,文献传承,B,重大政治事件，依据官方档案
007,项羽本纪,007-024,曹无伤密告项羽,政治活动,-206,96,106,家族传承,B,距司马谈96年，可能有家族口述
007,项羽本纪,007-025,范增进言急击,政治活动,-206,96,106,家族传承,B,距司马谈96年，可能有家族口述
007,项羽本纪,007-026,项伯夜访张良,政治活动,-206,96,106,家族传承,B,距司马谈96年，可能有家族口述
007,项羽本纪,007-027,鸿门宴会,政治活动,-206,96,106,亲历口述,B,樊哙家族口述
007,项羽本纪,007-028,樊哙闯帐救主,政治活动,-206,96,106,亲历口述,B,樊哙家族口述
007,项羽本纪,007-029,沛公脱身归营,政治活动,-206,96,106,家族传承,B,距司马谈96年，可能有家族口述
007,项羽本纪,007-030,沛公诛曹无伤,政治整顿,-206,96,106,家族传承,C,距司马谈96年，可能有2-3代传承
007,项羽本纪,007-031,屠咸阳烧宫室,战争,-206,96,106,文献传承,B,重大政治事件，依据官方档案
007,项羽本纪,007-032,尊怀王为义帝,政治活动,-206,96,106,家族传承,B,距司马谈96年，可能有家族口述
007,项羽本纪,007-033,项羽分封诸侯,政治活动,-206,96,106,家族传承,B,距司马谈96年，可能有家族口述
007,项羽本纪,007-034,封沛公为汉王,政治活动,-206,96,106,家族传承,B,距司马谈96年，可能有家族口述
007,项羽本纪,007-035,封王秦降将,政治活动,-206,96,106,家族传承,B,距司马谈96年，可能有家族口述
007,项羽本纪,007-036,分封关东诸王,政治活动,-206,96,106,家族传承,B,距司马谈96年，可能有家族口述
007,项羽本纪,007-037,项王自立霸王,继位,-206,96,106,文献传承,B,重大政治事件，依据官方档案
007,项羽本纪,007-038,阴杀义帝于江中,政治整顿,-205,95,105,家族传承,C,距司马谈95年，可能有2-3代传承
007,项羽本纪,007-039,杀韩王成,政治整顿,-206,96,106,家族传承,C,距司马谈96年，可能有2-3代传承
007,项羽本纪,007-040,田荣反齐自立,战争,-206,96,106,文献传承,B,重大政治事件，依据官方档案
007,项羽本纪,007-041,陈馀击破常山,战争,-205,95,105,文献传承,B,重大政治事件，依据官方档案
007,项羽本纪,007-042,项羽北击齐,战争,-205,95,105,文献传承,B,重大政治事件，依据官方档案
007,项羽本纪,007-043,彭城之战,战争,-205,95,105,文献传承,B,重大政治事件，依据官方档案
007,项羽本纪,007-044,汉王逃亡收子,战争,-205,95,105,文献传承,B,重大政治事件，依据官方档案
007,项羽本纪,007-045,太公吕后被俘,战争,-205,95,105,文献传承,B,重大政治事件，依据官方档案
007,项羽本纪,007-046,荥阳重整旗鼓,战争,-205,95,105,文献传承,B,重大政治事件，依据官方档案
007,项羽本纪,007-047,京索之战败楚,战争,-205,95,105,文献传承,B,重大政治事件，依据官方档案
007,项羽本纪,007-048,陈平反间计,政治活动,-204,94,104,家族传承,B,距司马谈94年，可能有家族口述
007,项羽本纪,007-049,范增愤而出走,政治活动,-204,94,104,家族传承,B,距司马谈94年，可能有家族口述
007,项羽本纪,007-050,纪信诈降替死,战争,-204,94,104,文献传承,B,重大政治事件，依据官方档案
007,项羽本纪,007-051,周苛守荥阳死,战争,-204,94,104,文献传承,B,重大政治事件，依据官方档案
007,项羽本纪,007-052,成皋争夺战,战争,-203,93,103,文献传承,B,重大政治事件，依据官方档案
007,项羽本纪,007-053,彭越袭击楚后方,战争,-204,94,104,文献传承,B,重大政治事件，依据官方档案
007,项羽本纪,007-054,广武对峙,战争,-203,93,103,文献传承,B,重大政治事件，依据官方档案
007,项羽本纪,007-055,项王弩射汉王,战争,-203,93,103,文献传承,B,重大政治事件，依据官方档案
007,项羽本纪,007-056,龙且败死于齐,战争,-203,93,103,文献传承,B,重大政治事件，依据官方档案
007,项羽本纪,007-057,曹咎兵败自刭,战争,-203,93,103,文献传承,B,重大政治事件，依据官方档案
007,项羽本纪,007-058,外黄少年谏言,政治活动,-203,93,103,家族传承,B,距司马谈93年，可能有家族口述
007,项羽本纪,007-059,鸿沟议和,政治活动,-203,93,103,家族传承,B,距司马谈93年，可能有家族口述
007,项羽本纪,007-060,追击项羽至固陵,战争,-202,92,102,文献传承,B,重大政治事件，依据官方档案
007,项羽本纪,007-061,垓下之围,战争,-202,92,102,文献传承,B,重大政治事件，依据官方档案
007,项羽本纪,007-062,四面楚歌别虞,战争,-202,92,102,文献传承,B,重大政治事件，依据官方档案
007,项羽本纪,007-063,突围南逃渡淮,战争,-202,92,102,文献传承,B,重大政治事件，依据官方档案
007,项羽本纪,007-064,东城快战,战争,-202,92,102,文献传承,B,重大政治事件，依据官方档案
007,项羽本纪,007-065,乌江自刎,战争,-202,92,102,文献传承,B,重大政治事件，依据官方档案
007,项羽本纪,007-066,分尸封五侯,政治活动,-202,92,102,家族传承,B,距司马谈92年，可能有家族口述
007,项羽本纪,007-067,鲁地归降葬项王,政治活动,-202,92,102,家族传承,B,距司马谈92年，可能有家族口述
007,项羽本纪,007-068,封赏项氏宗族,政治活动,-202,92,102,家族传承,B,距司马谈92年，可能有家族口述
008,高祖本纪,008-001,高祖出生,家族事件,-256,146,156,军中传闻,C,军中或民间流传
008,高祖本纪,008-002,任泗水亭长,政治活动,-220,110,120,军中传闻,C,军中或民间流传
008,高祖本纪,008-003,观秦始皇出行,政治活动,-220,110,120,军中传闻,C,军中或民间流传
008,高祖本纪,008-004,娶吕后,家族事件,-216,106,116,军中传闻,C,军中或民间流传
008,高祖本纪,008-005,相人预言贵相,文化活动,-213,103,113,文献传承,C,距司马谈103年，依赖文献
008,高祖本纪,008-006,斩蛇起义,战争,-211,101,111,文献传承,B,重大政治事件，依据官方档案
008,高祖本纪,008-007,隐匿芒砀,政治活动,-211,101,111,军中传闻,C,军中或民间流传
008,高祖本纪,008-008,陈胜起义,战争,-209,99,109,文献传承,B,重大政治事件，依据官方档案
008,高祖本纪,008-009,起兵沛县,战争,-209,99,109,文献传承,B,重大政治事件，依据官方档案
008,高祖本纪,008-010,攻胡陵方与,战争,-209,99,109,文献传承,B,重大政治事件，依据官方档案
008,高祖本纪,008-011,雍齿叛丰,战争,-208,98,108,文献传承,B,重大政治事件，依据官方档案
008,高祖本纪,008-012,沛公攻砀,战争,-208,98,108,文献传承,B,重大政治事件，依据官方档案
008,高祖本纪,008-013,往见项梁,政治活动,-208,98,108,家族传承,B,距司马谈98年，可能有家族口述
008,高祖本纪,008-014,立楚怀王,政治活动,-208,98,108,家族传承,B,距司马谈98年，可能有家族口述
008,高祖本纪,008-015,攻城阳破秦军,战争,-208,98,108,文献传承,B,重大政治事件，依据官方档案
008,高祖本纪,008-016,雍丘斩李由,战争,-208,98,108,文献传承,B,重大政治事件，依据官方档案
008,高祖本纪,008-017,项梁兵败身死,战争,-208,98,108,文献传承,B,重大政治事件，依据官方档案
008,高祖本纪,008-018,怀王遣将入关,政治活动,-207,97,107,家族传承,B,距司马谈97年，可能有家族口述
008,高祖本纪,008-019,沛公西略地,战争,-207,97,107,文献传承,B,重大政治事件，依据官方档案
008,高祖本纪,008-020,沛公遇彭越,战争,-207,97,107,文献传承,B,重大政治事件，依据官方档案
008,高祖本纪,008-021,郦食其献策,政治活动,-207,97,107,家族传承,B,距司马谈97年，可能有家族口述
008,高祖本纪,008-022,破杨熊军,战争,-207,97,107,文献传承,B,重大政治事件，依据官方档案
008,高祖本纪,008-023,南阳降服,战争,-207,97,107,文献传承,B,重大政治事件，依据官方档案
008,高祖本纪,008-024,破武关入关,战争,-207,97,107,文献传承,B,重大政治事件，依据官方档案
008,高祖本纪,008-025,秦王子婴投降,政治活动,-206,96,106,家族传承,B,距司马谈96年，可能有家族口述
008,高祖本纪,008-026,约法三章,政治改革,-206,96,106,文献传承,B,重大政治事件，依据官方档案
008,高祖本纪,008-027,项羽破函谷关,战争,-206,96,106,文献传承,B,重大政治事件，依据官方档案
008,高祖本纪,008-028,鸿门之会,政治活动,-206,96,106,家族传承,B,距司马谈96年，可能有家族口述
008,高祖本纪,008-029,诛曹无伤,政治整顿,-206,96,106,家族传承,C,距司马谈96年，可能有2-3代传承
008,高祖本纪,008-030,项羽屠咸阳,战争,-206,96,106,文献传承,B,重大政治事件，依据官方档案
008,高祖本纪,008-031,项羽分封诸侯,政治活动,-206,96,106,家族传承,B,距司马谈96年，可能有家族口述
008,高祖本纪,008-032,汉王入汉中,政治活动,-206,96,106,家族传承,B,距司马谈96年，可能有家族口述
008,高祖本纪,008-033,韩信献策东归,政治活动,-206,96,106,家族传承,B,距司马谈96年，可能有家族口述
008,高祖本纪,008-034,项羽杀义帝,政治整顿,-205,95,105,家族传承,C,距司马谈95年，可能有2-3代传承
008,高祖本纪,008-035,田荣反楚,战争,-206,96,106,文献传承,B,重大政治事件，依据官方档案
008,高祖本纪,008-036,还定三秦,战争,-206,96,106,文献传承,B,重大政治事件，依据官方档案
008,高祖本纪,008-037,东略诸王降,战争,-205,95,105,文献传承,B,重大政治事件，依据官方档案
008,高祖本纪,008-038,除秦立汉社稷,政治改革,-205,95,105,文献传承,B,重大政治事件，依据官方档案
008,高祖本纪,008-039,为义帝发丧,政治活动,-205,95,105,家族传承,B,距司马谈95年，可能有家族口述
008,高祖本纪,008-040,彭城大败,战争,-205,95,105,文献传承,B,重大政治事件，依据官方档案
008,高祖本纪,008-041,立太子惠,家族事件,-205,95,105,家族传承,B,距司马谈95年，可能有家族口述
008,高祖本纪,008-042,水灌废丘,战争,-205,95,105,文献传承,B,重大政治事件，依据官方档案
008,高祖本纪,008-043,荥阳破楚,战争,-205,95,105,文献传承,B,重大政治事件，依据官方档案
008,高祖本纪,008-044,魏豹叛汉,战争,-205,95,105,文献传承,B,重大政治事件，依据官方档案
008,高祖本纪,008-045,韩信破赵,战争,-204,94,104,文献传承,B,重大政治事件，依据官方档案
008,高祖本纪,008-046,荥阳相持,战争,-204,94,104,文献传承,B,重大政治事件，依据官方档案
008,高祖本纪,008-047,陈平离间楚,政治活动,-204,94,104,家族传承,B,距司马谈94年，可能有家族口述
008,高祖本纪,008-048,纪信诳楚,战争,-204,94,104,文献传承,B,重大政治事件，依据官方档案
008,高祖本纪,008-049,汉王出关复东,战争,-204,94,104,文献传承,B,重大政治事件，依据官方档案
008,高祖本纪,008-050,彭越破楚军,战争,-204,94,104,文献传承,B,重大政治事件，依据官方档案
008,高祖本纪,008-051,项羽拔荥阳,战争,-204,94,104,文献传承,B,重大政治事件，依据官方档案
008,高祖本纪,008-052,夺韩信军,政治活动,-204,94,104,家族传承,B,距司马谈94年，可能有家族口述
008,高祖本纪,008-053,韩信破齐,战争,-203,93,103,文献传承,B,重大政治事件，依据官方档案
008,高祖本纪,008-054,成皋之战,战争,-203,93,103,文献传承,B,重大政治事件，依据官方档案
008,高祖本纪,008-055,立韩信为齐王,政治活动,-203,93,103,家族传承,B,距司马谈93年，可能有家族口述
008,高祖本纪,008-056,广武对话,政治活动,-203,93,103,家族传承,B,距司马谈93年，可能有家族口述
008,高祖本纪,008-057,项羽射伤汉王,战争,-203,93,103,文献传承,B,重大政治事件，依据官方档案
008,高祖本纪,008-058,鸿沟和约,政治活动,-203,93,103,家族传承,B,距司马谈93年，可能有家族口述
008,高祖本纪,008-059,固陵之败,战争,-202,92,102,文献传承,B,重大政治事件，依据官方档案
008,高祖本纪,008-060,垓下之战,战争,-202,92,102,文献传承,B,重大政治事件，依据官方档案
008,高祖本纪,008-061,项羽败亡,战争,-202,92,102,文献传承,B,重大政治事件，依据官方档案
008,高祖本纪,008-062,鲁地降服,战争,-202,92,102,文献传承,B,重大政治事件，依据官方档案
008,高祖本纪,008-063,即皇帝位,继位,-202,92,102,文献传承,B,重大政治事件，依据官方档案
008,高祖本纪,008-064,封诸侯王,政治活动,-202,92,102,家族传承,B,距司马谈92年，可能有家族口述
008,高祖本纪,008-065,定都洛阳,政治活动,-202,92,102,家族传承,B,距司马谈92年，可能有家族口述
008,高祖本纪,008-066,论功行赏,政治活动,-202,92,102,家族传承,B,距司马谈92年，可能有家族口述
008,高祖本纪,008-067,迁都关中,政治活动,-202,92,102,家族传承,B,距司马谈92年，可能有家族口述
008,高祖本纪,008-068,击败臧荼,战争,-202,92,102,文献传承,B,重大政治事件，依据官方档案
008,高祖本纪,008-069,立卢绾为燕王,政治活动,-202,92,102,家族传承,B,距司马谈92年，可能有家族口述
008,高祖本纪,008-070,击败利几,战争,-202,92,102,文献传承,B,重大政治事件，依据官方档案
008,高祖本纪,008-071,尊太公为太上皇,家族事件,-201,91,101,家族传承,B,距司马谈91年，可能有家族口述
008,高祖本纪,008-072,擒韩信于陈,政治整顿,-201,91,101,家族传承,C,距司马谈91年，可能有2-3代传承
008,高祖本纪,008-073,封韩信淮阴侯,政治活动,-201,91,101,家族传承,B,距司马谈91年，可能有家族口述
008,高祖本纪,008-074,封刘氏诸王,政治活动,-201,91,101,家族传承,B,距司马谈91年，可能有家族口述
008,高祖本纪,008-075,匈奴攻马邑,战争,-201,91,101,文献传承,B,重大政治事件，依据官方档案
008,高祖本纪,008-076,白登之围,战争,-200,90,100,文献传承,B,重大政治事件，依据官方档案
008,高祖本纪,008-077,立刘仲为代王,政治活动,-200,90,100,家族传承,B,距司马谈90年，可能有家族口述
008,高祖本纪,008-078,长乐宫成,建设,-200,90,100,家族传承,C,距司马谈90年，可能有2-3代传承
008,高祖本纪,008-079,萧何营未央宫,建设,-200,90,100,家族传承,C,距司马谈90年，可能有2-3代传承
008,高祖本纪,008-080,贯高谋弑事发,政治整顿,-198,88,98,家族传承,C,距司马谈88年，可能有2-3代传承
008,高祖本纪,008-081,徙贵族入关中,政治整顿,-198,88,98,家族传承,C,距司马谈88年，可能有2-3代传承
008,高祖本纪,008-082,未央宫成大朝,政治活动,-198,88,98,家族传承,B,距司马谈88年，可能有家族口述
008,高祖本纪,008-083,诸王来朝,政治活动,-197,87,97,家族传承,B,距司马谈87年，可能有家族口述
008,高祖本纪,008-084,太上皇崩,家族事件,-197,87,97,家族传承,B,距司马谈87年，可能有家族口述
008,高祖本纪,008-085,陈豨反代,战争,-197,87,97,文献传承,B,重大政治事件，依据官方档案
008,高祖本纪,008-086,韩信谋反伏诛,政治整顿,-196,86,96,家族传承,C,距司马谈86年，可能有2-3代传承
008,高祖本纪,008-087,彭越谋反伏诛,政治整顿,-196,86,96,家族传承,C,距司马谈86年，可能有2-3代传承
008,高祖本纪,008-088,黥布反叛,战争,-196,86,96,文献传承,B,重大政治事件，依据官方档案
008,高祖本纪,008-089,击败黥布,战争,-195,85,95,文献传承,B,重大政治事件，依据官方档案
008,高祖本纪,008-090,过沛大风歌,文化活动,-195,85,95,家族传承,C,距司马谈85年，可能有2-3代传承
008,高祖本纪,008-091,复沛丰之民,经济活动,-195,85,95,家族传承,C,距司马谈85年，可能有2-3代传承
008,高祖本纪,008-092,斩陈豨平代,战争,-195,85,95,文献传承,B,重大政治事件，依据官方档案
008,高祖本纪,008-093,讨伐燕王卢绾,战争,-195,85,95,文献传承,B,重大政治事件，依据官方档案
008,高祖本纪,008-094,高祖病重安排,政治活动,-195,85,95,家族传承,B,距司马谈85年，可能有家族口述
008,高祖本纪,008-095,高祖驾崩,继位,-195,85,95,文献传承,B,重大政治事件，依据官方档案
008,高祖本纪,008-096,吕后秘不发丧,政治活动,-195,85,95,家族传承,B,距司马谈85年，可能有家族口述
008,高祖本纪,008-097,卢绾亡入匈奴,政治活动,-195,85,95,家族传承,B,距司马谈85年，可能有家族口述
008,高祖本纪,008-098,孝惠帝继位,继位,-195,85,95,文献传承,B,重大政治事件，依据官方档案
008,高祖本纪,008-099,建沛宫原庙,建设,-190,80,90,家族传承,C,距司马谈80年，可能有2-3代传承
009,吕太后本纪,009-001,吕后早年嫁高祖,家族事件,-220,110,120,军中传闻,C,军中或民间流传
009,吕太后本纪,009-002,高祖宠幸戚姬,家族事件,-205,95,105,家族传承,B,距司马谈95年，可能有家族口述
009,吕太后本纪,009-003,废立太子之争,政治活动,-195,85,95,家族传承,B,距司马谈85年，可能有家族口述
009,吕太后本纪,009-004,吕后佐定天下,政治活动,-195,85,95,家族传承,B,距司马谈85年，可能有家族口述
009,吕太后本纪,009-005,高祖崩太子即位,继位,-195,85,95,文献传承,B,重大政治事件，依据官方档案
009,吕太后本纪,009-006,高祖诸子分封,政治活动,-195,85,95,家族传承,B,距司马谈85年，可能有家族口述
009,吕太后本纪,009-007,囚戚夫人召赵王,政治整顿,-195,85,95,家族传承,C,距司马谈85年，可能有2-3代传承
009,吕太后本纪,009-008,惠帝护赵王,政治活动,-195,85,95,家族传承,B,距司马谈85年，可能有家族口述
009,吕太后本纪,009-009,鸩杀赵王如意,政治整顿,-194,84,94,家族传承,C,距司马谈84年，可能有2-3代传承
009,吕太后本纪,009-010,人彘之刑,政治整顿,-194,84,94,家族传承,C,距司马谈84年，可能有2-3代传承
009,吕太后本纪,009-011,惠帝不听政,政治活动,-194,84,94,家族传承,B,距司马谈84年，可能有家族口述
009,吕太后本纪,009-012,齐王楚王来朝,政治活动,-193,83,93,家族传承,B,距司马谈83年，可能有家族口述
009,吕太后本纪,009-013,太后鸩酒谋害齐王,政治整顿,-193,83,93,家族传承,C,距司马谈83年，可能有2-3代传承
009,吕太后本纪,009-014,齐王献城阳郡,政治活动,-193,83,93,家族传承,B,距司马谈83年，可能有家族口述
009,吕太后本纪,009-015,筑长安城,建设,-189,79,89,家族传承,C,距司马谈79年，可能有2-3代传承
009,吕太后本纪,009-016,孝惠帝崩,继位,-188,78,88,文献传承,B,重大政治事件，依据官方档案
009,吕太后本纪,009-017,张辟彊献策安吕氏,政治活动,-188,78,88,家族传承,B,距司马谈78年，可能有家族口述
009,吕太后本纪,009-018,吕氏权起大赦天下,政治活动,-188,78,88,家族传承,B,距司马谈78年，可能有家族口述
009,吕太后本纪,009-019,太子即位谒高庙,继位,-188,78,88,文献传承,B,重大政治事件，依据官方档案
009,吕太后本纪,009-020,太后称制议封吕王,政治活动,-187,77,87,家族传承,B,距司马谈77年，可能有家族口述
009,吕太后本纪,009-021,王陵廷争白马盟,政治活动,-187,77,87,家族传承,B,距司马谈77年，可能有家族口述
009,吕太后本纪,009-022,王陵被夺相权,政治整顿,-187,77,87,家族传承,C,距司马谈77年，可能有2-3代传承
009,吕太后本纪,009-023,封功臣侯,政治活动,-187,77,87,家族传承,B,距司马谈77年，可能有家族口述
009,吕太后本纪,009-024,鲁元公主薨,家族事件,-187,77,87,家族传承,B,距司马谈77年，可能有家族口述
009,吕太后本纪,009-025,封朱虚侯等,政治活动,-186,76,86,家族传承,B,距司马谈76年，可能有家族口述
009,吕太后本纪,009-026,封诸吕为侯,政治活动,-187,77,87,家族传承,B,距司马谈77年，可能有家族口述
009,吕太后本纪,009-027,立惠帝后宫子为王侯,政治活动,-187,77,87,家族传承,B,距司马谈77年，可能有家族口述
009,吕太后本纪,009-028,立吕台为吕王,政治活动,-187,77,87,家族传承,B,距司马谈77年，可能有家族口述
009,吕太后本纪,009-029,常山王薨弟代立,继位,-186,76,86,文献传承,B,重大政治事件，依据官方档案
009,吕太后本纪,009-030,吕王台薨子嘉代立,继位,-186,76,86,文献传承,B,重大政治事件，依据官方档案
009,吕太后本纪,009-031,四年封诸吕,政治活动,-184,74,84,家族传承,B,距司马谈74年，可能有家族口述
009,吕太后本纪,009-032,宣平侯女假子为太子,政治活动,-191,81,91,家族传承,B,距司马谈81年，可能有家族口述
009,吕太后本纪,009-033,少帝知身世欲变,政治活动,-184,74,84,家族传承,B,距司马谈74年，可能有家族口述
009,吕太后本纪,009-034,废少帝幽杀之,政治整顿,-184,74,84,家族传承,C,距司马谈74年，可能有2-3代传承
009,吕太后本纪,009-035,立常山王义为帝,继位,-184,74,84,文献传承,B,重大政治事件，依据官方档案
009,吕太后本纪,009-036,置太尉官,政治改革,-184,74,84,文献传承,B,重大政治事件，依据官方档案
009,吕太后本纪,009-037,淮阳王薨弟代立,继位,-183,73,83,文献传承,B,重大政治事件，依据官方档案
009,吕太后本纪,009-038,废吕王嘉立吕产,政治整顿,-182,72,82,家族传承,C,距司马谈72年，可能有2-3代传承
009,吕太后本纪,009-039,封东牟侯兴居,政治活动,-182,72,82,家族传承,B,距司马谈72年，可能有家族口述
009,吕太后本纪,009-040,赵王友被召幽死,政治整顿,-181,71,81,家族传承,C,距司马谈71年，可能有2-3代传承
009,吕太后本纪,009-041,日食示警,自然灾害,-181,71,81,文献传承,B,重大政治事件，依据官方档案
009,吕太后本纪,009-042,梁王恢徙为赵王,政治活动,-181,71,81,家族传承,B,距司马谈71年，可能有家族口述
009,吕太后本纪,009-043,吕产徙为梁王,政治活动,-181,71,81,家族传承,B,距司马谈71年，可能有家族口述
009,吕太后本纪,009-044,刘泽封琅邪王,政治活动,-181,71,81,家族传承,B,距司马谈71年，可能有家族口述
009,吕太后本纪,009-045,梁王恢自杀,家族事件,-181,71,81,家族传承,B,距司马谈71年，可能有家族口述
009,吕太后本纪,009-046,代王谢徙赵,政治活动,-181,71,81,家族传承,B,距司马谈71年，可能有家族口述
009,吕太后本纪,009-047,吕禄立为赵王,政治活动,-181,71,81,家族传承,B,距司马谈71年，可能有家族口述
009,吕太后本纪,009-048,燕灵王建薨国除,政治整顿,-181,71,81,家族传承,C,距司马谈71年，可能有2-3代传承
009,吕太后本纪,009-049,吕通立为燕王,政治活动,-180,70,80,家族传承,B,距司马谈70年，可能有家族口述
